# MVA / chromosomal-instability disease panel. Track 1, Rare Disease Real Kid: MVA Hackathon 2026.
# EVERY gene-disease link, identifier and citation in this file was read out of a curated file on disk.
# Sources and their snapshot dates, plus every point where they disagree, are in mva_panel_sources.md.
#   DDG2P (EBI Gene2Phenotype) downloaded 2026-08-27 | ClinGen gene validity, file created 2026-08-27
#   HPO phenotype.hpoa / phenotype_to_genes.txt v2026-06-23 | MANE GRCh38 v1.5 | ClinVar VCF fileDate 2026-08-22
# panel_tier: 1 = established MVA phenotype series and the Orphanet MVA gene set; 2 = broader
#   chromosomal-instability, DNA-repair, centrosome, microcephaly and growth differential; 3 = off-panel (genome-wide).
# evidence_tier is the STRONGEST curated classification found (DDG2P confidence, else ClinGen, else limited/candidate).
#   "candidate" means NO curated gene-disease validity exists in any source above: mechanism only, do not report as causal.
# An empty citation field is deliberate and means no citation exists in the downloaded sources. It is never a placeholder.
# version: 2026-08-28-a
gene_symbol	gene_symbol_aliases	hgnc_id	ensembl_gene_id	ncbi_gene_id	grch38_contig	gene_omim	disease_name	disease_omim	disease_mondo	inheritance	allelic_requirement	mechanism_class	evidence_tier	panel_tier	ddg2p_confidence	clingen_classification	clinvar_plp_n	citation	citation_source	notes
FANCD2	FA-D2|FACD|FAD|FANCD	HGNC:3585	ENSG00000144554	2177	chr3	OMIM:613984	FANCD2-related Fanconi anemia	OMIM:227646	MONDO:0009214	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group D2; AR; 2021-06-15)	280	PMID:11239453;PMID:17436244	DDG2P.publications+phenotype.hpoa.reference	
FANCE	FACE|FAE	HGNC:3586	ENSG00000112039	2178	chr6	OMIM:613976	FANCE-related Fanconi anemia	OMIM:600901	MONDO:0010953	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group E; AR; 2020-05-14)	78	PMID:10205272;PMID:11001585;PMID:9382107	DDG2P.publications	
FANCF	FAF	HGNC:3587	ENSG00000183161	2188	chr11	OMIM:613897	FANCF-related Fanconi anemia	OMIM:603467	MONDO:0011325	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group F; AR; 2021-02-03)	57	PMID:10615118;PMID:26033879;PMID:9382107;PMID:27714961;PMID:31288759	DDG2P.publications+phenotype.hpoa.reference	
FANCG	FAG|XRCC9	HGNC:3588	ENSG00000221829	2189	chr9	OMIM:602956	FANCG-related Fanconi anemia	OMIM:614082	MONDO:0013565	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group G; AR; 2019-04-19)	214	PMID:10807541;PMID:11093276;PMID:12552564;PMID:15657175;PMID:9806548	DDG2P.publications	
FANCI	FLJ10719|KIAA1794	HGNC:25568	ENSG00000140525	55215	chr15	OMIM:611360	FANCI-related Fanconi anemia	OMIM:609053	MONDO:0012186	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group I; AR; 2021-06-15)	287	PMID:17452773;PMID:26590883;PMID:17460694	DDG2P.publications+phenotype.hpoa.reference	
FANCL	FAAP43|FLJ10335|PHF9|POG	HGNC:20748	ENSG00000115392	55120	chr2	OMIM:608111	FANCL-related Fanconi anemia	OMIM:614083	MONDO:0013566	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group L; AR; 2020-07-30)	121	PMID:12973351;PMID:19405097;PMID:25754594;PMID:28419882;PMID:31513304;PMID:34585473;PMID:36894310	DDG2P.publications	
PALB2	FANCN|FLJ21816	HGNC:26144	ENSG00000083093	79728	chr16	OMIM:610355	PALB2-related Fanconi anemia	OMIM:610832	MONDO:0012565	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group N; AR; 2019-08-18)	1448	PMID:17200671;PMID:17200672	DDG2P.publications	FA-N; biallelic.
SLX4	BTBD12|FANCP|KIAA1784|KIAA1987	HGNC:23845	ENSG00000188827	84464	chr16	OMIM:613278	SLX4-related Fanconi anemia	OMIM:613951	MONDO:0013499	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group P; AR; 2023-10-27)	157	PMID:21240275;PMID:21240277	DDG2P.publications	FA-P.
BRCA1	BRCC1|FANCS|PPP1R53|RNF53	HGNC:1100	ENSG00000012048	672	chr17	OMIM:113705	BRCA1-related Fanconi anemia	OMIM:617883	MONDO:0054748	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	strong	2	strong	Definitive (Fanconi anemia, complementation group S; AR; 2020-05-14)	4109	PMID:12624153;PMID:34680915;PMID:23269703	DDG2P.publications+phenotype.hpoa.reference	FA-S; biallelic.
ERCC4	FANCQ|RAD1|XPF	HGNC:3436	ENSG00000175595	2072	chr16	OMIM:133520	ERCC4-related Fanconi anemia	OMIM:615272	MONDO:0014108	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	strong	2	strong	Definitive (xeroderma pigmentosum group F; AR; 2019-08-14)	68	PMID:17183314;PMID:23623386;PMID:23623389;PMID:3372781;PMID:8797827	DDG2P.publications	FA-Q / XP-F.
FANCM	FAAP250|KIAA1596	HGNC:23168	ENSG00000187790	57697	chr14	OMIM:609644	FANCM-related Fanconi anemia		MONDO:0019391	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	strong	2	strong	Refuted (Fanconi anemia; AR; 2024-12-10)	202	ORPHA:399805;ORPHA:84	phenotype_to_genes.disease_id	CONFLICT: DDG2P lists FANCM-related Fanconi anaemia as strong; ClinGen REFUTED classic FA (2024-12-10) and curates a separate Definitive 'FANCM Fanconi-like genomic instability disorder' (MONDO:0100578).
RAD51C	FANCO|RAD51L2	HGNC:9820	ENSG00000108384	5889	chr17	OMIM:602774	RAD51C-related Fanconi anemia	OMIM:613390	MONDO:0013248	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	strong	2	strong	Limited (Fanconi anemia complementation group O; AR; 2023-12-20)	328	PMID:20400963	DDG2P.publications	FA-O. DDG2P strong vs ClinGen Limited.
UBE2T	FANCT|HSPC150	HGNC:25009	ENSG00000077152	29089	chr1	OMIM:610538	UBE2T-related Fanconi anemia	OMIM:616435	MONDO:0014638	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	strong	2	strong	absent	13	PMID:26046368	DDG2P.publications	FA-T.
MAD2L2		HGNC:6764	ENSG00000116670	10459	chr1		Fanconi anemia, complementation group V	OMIM:617243		autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	limited	2	absent	absent	1	PMID:27500492	phenotype.hpoa.reference	FA-V (REV7). Absent from DDG2P and ClinGen.
RAD51	BRCC5|FANCR|HSRAD51|HST16930|RAD51A|RECA	HGNC:9817	ENSG00000051180	5888	chr15	OMIM:179617	Fanconi anemia, complementation group R	OMIM:617244	MONDO:0013790	autosomal_dominant	monoallelic_autosomal	fanconi_icl_repair	limited	2	limited	absent	14	PMID:21242494;PMID:26253028;PMID:26681308	DDG2P.publications+phenotype.hpoa.reference	FA-R is dominant-negative monoallelic, NOT a compound-het model. DDG2P only curates a limited mirror-movements link.
XRCC2		HGNC:12829	ENSG00000196584	7516	chr7		FANCONI ANEMIA, COMPLEMENTATION GROUP U	OMIM:617247	MONDO:0014987	autosomal_recessive	not_curated	fanconi_icl_repair	limited	2	absent	Limited (Fanconi anemia complementation group U; AR; 2023-10-27)	17	PMID:22232082	phenotype.hpoa.reference	FA-U; ClinGen Limited.
CUL7	DJ20C7.5|KIAA0076	HGNC:21024	ENSG00000044090	9820	chr6	OMIM:609577	CUL7-related 3-M syndrome	OMIM:273750	MONDO:0010117	autosomal_recessive	biallelic_autosomal	growth_regulation	definitive	2	definitive	absent	128	PMID:16142236;PMID:17675530;PMID:19225462;PMID:25945256;PMID:33258289	DDG2P.publications+phenotype.hpoa.reference	3-M syndrome 1.
IGF1R	CD221|IGFIR|IGFR|JTK13|MGC18216	HGNC:5465	ENSG00000140443	3480	chr15	OMIM:147370	IGF1R-related insulin-like growth factor I, resistance to	OMIM:270450	MONDO:0010038	autosomal_recessive	biallelic_autosomal	growth_regulation	definitive	2	definitive	absent	79	PMID:14657428;PMID:15928254;PMID:17264177;PMID:22130793	DDG2P.publications	IGF1 resistance; pre- and post-natal growth restriction.
OBSL1	KIAA0657	HGNC:29092	ENSG00000124006	23363	chr2	OMIM:610991	OBSL1-related 3-M syndrome	OMIM:612921	MONDO:0013039	autosomal_recessive	biallelic_autosomal	growth_regulation	definitive	2	definitive	absent	80	PMID:19481195;PMID:23457316;PMID:27796265	DDG2P.publications+phenotype.hpoa.reference	3-M syndrome 2.
CCDC8	3M3|DKFZP564K0322|PPP1R20	HGNC:25367	ENSG00000169515	83987	chr19	OMIM:614145	CCDC8-related 3-M syndrome	OMIM:614205	MONDO:0013627	autosomal_recessive	biallelic_autosomal	growth_regulation	strong	2	strong	absent	12	PMID:21737058	DDG2P.publications	3-M syndrome 3.
CENPF	HCP-1	HGNC:1857	ENSG00000117724	1063	chr1	OMIM:600236	CENPF-related Stromme syndrome	OMIM:243605	MONDO:0009477	autosomal_recessive	biallelic_autosomal	kinetochore	strong	2	strong	absent	67	PMID:26820108;PMID:27300082;PMID:28407396;PMID:25564561	DDG2P.publications+phenotype.hpoa.reference	Stromme syndrome: intestinal atresia, microcephaly, ocular anomalies.
KNL1	CASC5|MCPH4	HGNC:24054	ENSG00000137812	57082	chr15	OMIM:609173	KNL1-related primary microcephaly	OMIM:604321	MONDO:0011437	autosomal_recessive	biallelic_autosomal	kinetochore	strong	2	strong	absent	23	PMID:22983954;PMID:26621532;PMID:26626498;PMID:27149178;PMID:27784895;PMID:37937525	DDG2P.publications	MCPH4. Former symbol CASC5.
CENPE		HGNC:1856	ENSG00000138778	1062	chr4		Microcephaly 13, primary, autosomal recessive	OMIM:616051	MONDO:0016660	autosomal_recessive	not_curated	kinetochore	limited	2	absent	Limited (autosomal recessive primary microcephaly; AR; 2023-12-19)	5	PMID:24748105	phenotype.hpoa.reference	ClinGen classifies the AR primary microcephaly link as Limited, contradicting its routine listing as an established MCPH gene.
AURKB		HGNC:11390	ENSG00000178999	9212	chr17					not_curated	not_curated	kinetochore	candidate	2	absent	absent	1		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	Chromosomal passenger complex; error correction of merotelic attachments.
KNTC1		HGNC:17255	ENSG00000184445	9735	chr12					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	ROD, RZZ complex.
NDC80		HGNC:16909	ENSG00000080986	10403	chr18					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	NDC80/HEC1 complex; microtubule-kinetochore attachment.
NUF2		HGNC:14621	ENSG00000143228	83540	chr1					not_curated	not_curated	kinetochore	candidate	2	absent	absent	1		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	NDC80 complex.
SPC24		HGNC:26913	ENSG00000161888	147841	chr19					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	NDC80 complex.
SPC25		HGNC:24031	ENSG00000152253	57405	chr2					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	NDC80 complex.
ZW10		HGNC:13194	ENSG00000086827	9183	chr11					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	RZZ complex; checkpoint protein recruitment.
ZWILCH		HGNC:25468	ENSG00000174442	55055	chr15					not_curated	not_curated	kinetochore	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	RZZ complex.
ASPM	ASP|CALMBP1|FLJ10517|FLJ10549|MCPH5	HGNC:19048	ENSG00000066279	259266	chr1	OMIM:605481	ASPM-related pirmary microcephaly	OMIM:608716	MONDO:0012106	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	definitive	2	definitive	Definitive (autosomal recessive primary microcephaly; AR; 2024-03-14)	357	PMID:12355089;PMID:16673149;PMID:27250695;PMID:29644084	DDG2P.publications+phenotype.hpoa.reference	MCPH5; commonest MCPH gene.
MCPH1	BRIT1|FLJ12847	HGNC:6954	ENSG00000147316	79648	chr8	OMIM:607117	MCPH1-related microcephaly primary	OMIM:251200	MONDO:0009617	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	definitive	2	definitive	Definitive (microcephaly with intellectual disability; AR; 2023-01-17)	110	PMID:11857108;PMID:12046007;PMID:16311745;PMID:20978018;PMID:7693575	DDG2P.publications	MCPH1. Cytogenetic hallmark is premature chromosome condensation - visible on karyotype and easily confused with an MVA report.
MFSD2A	FLJ14490|MFSD2|SLC59A1	HGNC:25897	ENSG00000168389	84879	chr1	OMIM:614397	MFSD2A-related primary microcephaly	OMIM:616486		autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	definitive	2	definitive	absent	9	PMID:26005865;PMID:26005868	DDG2P.publications+phenotype.hpoa.reference	MCPH15; lysophosphatidylcholine transporter.
WDR62	C19ORF14|DKFZP434J046|FLJ33298|MCPH2	HGNC:24502	ENSG00000075702	284403	chr19	OMIM:613583	WDR62-related microcephaly, cortical malformations, and intellectual developmental disorder	OMIM:604317	MONDO:0011435	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	definitive	2	definitive	Definitive (microcephaly 2, primary, autosomal recessive, with or without cortical malformations; AR; 2020-05-26)	127	PMID:10573015;PMID:20729831;PMID:20890278;PMID:20890279;PMID:21834044	DDG2P.publications	MCPH2.
CDK5RAP2	C48|CEP215|FLJ10867|MCPH3	HGNC:18672	ENSG00000136861	55755	chr9	OMIM:608201	CDK5RAP2-related primary microcephaly	OMIM:604804	MONDO:0011488	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	strong	2	strong	Definitive (autosomal recessive primary microcephaly; AR; 2022-01-25)	84	PMID:32015000;PMID:15793586;PMID:23995685;PMID:27761245	DDG2P.publications+phenotype.hpoa.reference	MCPH3.
ZNF335	BA465L10.2|NIF-1	HGNC:15807	ENSG00000198026	63925	chr20	OMIM:610827	ZNF335-related microcephaly, epilepsy, cerebral and/or cerebellar atrophy and short stature	OMIM:615095	MONDO:0014043	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	strong	2	strong	absent	27	PMID:23178126;PMID:27540107;PMID:29652087;PMID:31187448;PMID:33216650;PMID:34982360;PMID:38549403;PMID:40583037	DDG2P.publications	MCPH10.
PHC1	EDR1|HPH1|RAE28	HGNC:3182	ENSG00000111752	1911	chr12	OMIM:602978	PHC1-related primary microcephaly	OMIM:615414	MONDO:0014173	autosomal_recessive	biallelic_autosomal	microcephaly_neurogenesis	limited	2	limited	absent	2	PMID:23418308	DDG2P.publications	MCPH11; DDG2P limited.
CDC45	CDC45L|CDC45L2	HGNC:1739	ENSG00000093009	8318	chr22	OMIM:603465	CDC45-related Meier-Gorlin syndrome and craniosynostosis	OMIM:617063	MONDO:0014894	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	Definitive (Meier-Gorlin syndrome 7; AR; 2023-05-30)	23	PMID:27374770	DDG2P.publications	Meier-Gorlin 7 with craniosynostosis.
CDC6	CDC18L	HGNC:1744	ENSG00000094804	990	chr17	OMIM:602627	CDC6-related Meier-Gorlin syndrome	OMIM:613805	MONDO:0013432	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	Limited (Meier-Gorlin syndrome 5; AR; 2025-01-17)	0	PMID:11477602;PMID:21358632	DDG2P.publications+phenotype.hpoa.reference	Meier-Gorlin 5. CONFLICT: DDG2P definitive vs ClinGen Limited (2025-01-17).
CDT1	DUP|RIS2	HGNC:24576	ENSG00000167513	81620	chr16	OMIM:605525	CDT1-related Meier-Gorlin syndrome	OMIM:613804	MONDO:0013431	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	Definitive (Meier-Gorlin syndrome 4; AR; 2023-03-03)	27	PMID:11992493;PMID:21358632	DDG2P.publications	Meier-Gorlin 4.
ORC1	HSORC1|ORC1L|PARC1	HGNC:8487	ENSG00000085840	4998	chr1	OMIM:601902	ORC1-related Meier-Gorlin syndrome	OMIM:224690	MONDO:0009143	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	absent	33	PMID:21358633;PMID:21358632	DDG2P.publications+phenotype.hpoa.reference	Meier-Gorlin 1.
ORC4	HSORC4|ORC4L|ORC4P	HGNC:8490	ENSG00000115947	5000	chr2	OMIM:603056	ORC4-related Meier-Gorlin syndrome	OMIM:613800	MONDO:0013428	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	Moderate (Meier-Gorlin syndrome 2; AR; 2025-06-30)	23	PMID:11477602;PMID:21358632	DDG2P.publications+phenotype.hpoa.reference	Meier-Gorlin 2. DDG2P definitive vs ClinGen Moderate.
ORC6	ORC6L	HGNC:17151	ENSG00000091651	23594	chr16	OMIM:607213	ORC6-related Meier-Gorlin syndrome	OMIM:613803	MONDO:0013430	autosomal_recessive	biallelic_autosomal	replication_licensing	definitive	2	definitive	Definitive (Meier-Gorlin syndrome 3; AR; 2023-07-21)	17	PMID:7710253;PMID:21358632	DDG2P.publications+phenotype.hpoa.reference	Meier-Gorlin 3.
GMNN	GEM	HGNC:17493	ENSG00000112312	51053	chr6	OMIM:602842	GMNN-related primordial dwarfism associated with Meier-Gorlin syndrome	OMIM:616835	MONDO:0014794	autosomal_dominant	monoallelic_autosomal	replication_licensing	strong	2	strong	Moderate (Meier-Gorlin syndrome 6; AD; 2024-12-04)	3	PMID:26637980	DDG2P.publications	Meier-Gorlin 6; monoallelic gain of function, not a recessive model.
POLE	POLE1	HGNC:9177	ENSG00000177084	5426	chr12	OMIM:174762	POLE-related IMAGE syndrome with variable immunodeficiency	OMIM:618336	MONDO:0032684	autosomal_recessive	biallelic_autosomal	replication_licensing	strong	2	strong	Definitive (POLE-related polyposis and colorectal cancer syndrome; AD; 2023-07-05)	456	PMID:23230001;PMID:25948378;PMID:30503519;PMID:35860951	DDG2P.publications	Biallelic IMAGE-I; distinct from the dominant polymerase-proofreading cancer syndrome.
GINS1		HGNC:28980	ENSG00000101003	9837	chr20		Immunodeficiency 55	OMIM:617827	MONDO:0044725	autosomal_recessive	not_curated	replication_licensing	moderate	2	absent	Moderate (combined immunodeficiency due to GINS1 deficiency; AR; 2024-07-18)	2	PMID:28414293	phenotype.hpoa.reference	Growth restriction with NK-cell deficiency.
MCM4		HGNC:6947	ENSG00000104738	4173	chr8		Immunodeficiency 54	OMIM:609981	MONDO:0012383	autosomal_recessive	not_curated	replication_licensing	moderate	2	absent	Moderate (primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency; AR; 2023-08-17)	3	PMID:22354167;PMID:22354170	phenotype.hpoa.reference	Growth restriction, adrenal insufficiency, NK-cell deficiency; chromosomal instability reported.
CDC20		HGNC:1723	ENSG00000117399	991	chr1		Oocyte/zygote/embryo maturation arrest 14	OMIM:620276		autosomal_recessive	biallelic_autosomal	spindle_assembly_checkpoint	limited	2	absent	absent	12	PMID:32666501	phenotype.hpoa.reference	Only curated human disease is oocyte/zygote/embryo maturation arrest, not a paediatric somatic phenotype. Kept for mechanism, not phenotype.
MAD2L1		HGNC:6763	ENSG00000164109	4085	chr4					not_curated	not_curated	spindle_assembly_checkpoint	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	Core mitotic checkpoint complex subunit with BUB1B/BUB3/CDC20.
TTK		HGNC:12401	ENSG00000112742	7272	chr6					not_curated	not_curated	spindle_assembly_checkpoint	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	MPS1 kinase, apex of SAC signalling.
KIF11	EG5|HKSP|KNSL1|TRIP5	HGNC:6388	ENSG00000138160	3832	chr10	OMIM:148760	KIF11-related microcephaly with or without chorioretinopathy, lymphedema, and developmental delay	OMIM:152950	MONDO:0007918	autosomal_dominant	monoallelic_autosomal	spindle_motor	definitive	2	definitive	Definitive (microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability; AD; 2021-07-01)	191	PMID:15930898;PMID:22284827	DDG2P.publications	Dominant; microcephaly with chorioretinopathy and lymphoedema.
KIF14	KIAA0042	HGNC:19181	ENSG00000118193	9928	chr1	OMIM:611279	KIF14-related severe microcephaly and short stature	OMIM:617914	MONDO:0054761	autosomal_recessive	biallelic_autosomal	spindle_motor	strong	2	strong	absent	43	PMID:24128419;PMID:28892560;PMID:29343805	DDG2P.publications+phenotype.hpoa.reference	Severe microcephaly and short stature; central-spindle kinesin.
TUBB	M40|MGC16435|OK/SW-CL.56|TUBB5	HGNC:20778	ENSG00000196230	203068	chr6	OMIM:191130	TUBB-related developmental disorder with cleft palate, cranial malformations and circumferential skin creases (Kunze type)	OMIM:156610	MONDO:0020738	autosomal_dominant	monoallelic_autosomal	spindle_motor	strong	2	strong	absent	40	PMID:23246003;PMID:23324645;PMID:26637975;PMID:34211110	DDG2P.publications	Dominant tubulinopathy.
DIS3L2	FAM6A|FLJ36974|MGC42174	HGNC:28648	ENSG00000144535	129563	chr2	OMIM:614184	DIS3L2-related Perlman syndrome	OMIM:267000	MONDO:0009965	autosomal_recessive	biallelic_autosomal	tumour_predisposition	definitive	2	definitive	Definitive (Perlman syndrome; AR; 2019-11-21)	92	PMID:10508986;PMID:22306653;PMID:6093533	DDG2P.publications	Perlman syndrome; overgrowth with Wilms tumour - the mirror image of the MVA growth phenotype.
WT1	AWT1|GUD|NPHS4|WAGR|WIT-2|WT-1	HGNC:12796	ENSG00000184937	7490	chr11	OMIM:607102	WT1-related Denys-Drash syndrome	OMIM:194080	MONDO:0008682	autosomal_dominant	monoallelic_autosomal	tumour_predisposition	definitive	2	definitive	Definitive (Denys-Drash syndrome; AD; 2021-07-27)	164	PMID:10571943;PMID:1302008;PMID:1327525;PMID:1655284;PMID:1658787;PMID:8388765;PMID:9499425;PMID:7645607	DDG2P.publications+phenotype.hpoa.reference	Denys-Drash / WAGR. Dominant.
CTR9	KIAA0155|P150TSP|SH2BP1|TSBP	HGNC:16850	ENSG00000198730	9646	chr11	OMIM:609366	CTR9-related neurodevelopmental disorder		MONDO:1040006	autosomal_dominant	monoallelic_autosomal	tumour_predisposition	moderate	2	moderate	Moderate (CTR9-related neurodevelopmental disorder; AD; 2025-03-19)	17	PMID:35468861;PMID:35499524;PMID:35717577	DDG2P.publications	Only curated tumour link is ORPHA:654 nephroblastoma; DDG2P/ClinGen curate a separate neurodevelopmental phenotype (Moderate).
REST	DFNA27|NRSF|XBR	HGNC:9966	ENSG00000084093	5978	chr4	OMIM:600571	Wilms tumor 6	OMIM:616806		autosomal_dominant	monoallelic_autosomal	tumour_predisposition	moderate	2	moderate	absent	28	PMID:36509837;PMID:26551668	DDG2P.publications+phenotype.hpoa.reference	Wilms tumor 6 (OMIM:616806). DDG2P curates only an unrelated gingival-fibromatosis phenotype for REST.
TRIM28		HGNC:16384	ENSG00000130726	10155	chr19		Wilms tumor 7	OMIM:621332		autosomal_dominant	not_curated	tumour_predisposition	limited	2	absent	absent	14	PMID:29912901	phenotype.hpoa.reference	Wilms tumor 7 (OMIM:621332). Absent from DDG2P and ClinGen.
