# Real gene-level constraint metrics from gnomAD.
#
# Source: gnomAD gene constraint metrics (gnomad.v4.1.constraint_metrics.tsv), downloaded from
#   https://storage.googleapis.com/gcp-public-data--gnomad/release/4.1/constraint/gnomad.v4.1.constraint_metrics.tsv
# Version: v4.1 (parsed from the source filename; the TSV body carries no version column)
# Retrieved: 2026-08-28
# Licence: public domain (CC0). gnomAD requests attribution/citation to the flagship publication wherever the data are used; no other restriction applies.
#   See https://gnomad.broadinstitute.org/policies
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# One row per gene: gnomAD reports constraint per TRANSCRIPT, so for each gene the MANE Select transcript is preferred, then the canonical transcript, then the lexicographically smallest transcript ID (deterministic tie-break; mirrors mva.annotation.local_tables._consequence_sort_key). Only transcripts carrying an Ensembl gene ID (gene_id starting 'ENSG') are used, so ensembl_gene_id is always populated for an included gene; the gnomAD 'gene' value literally equal to 'NA' (its own missing-gene sentinel) is excluded entirely, not treated as a gene symbol.
#
# pli = lof.pLI, loeuf = lof.oe_ci.upper, mis_z = mis.z_score -- gnomAD's own high-confidence-pLoF-only ('lof.', not the merged 'lof_hc_lc.' set) and sample-size-calibrated ('z_score', not 'z_raw') columns: the same metrics gnomAD's browser shows on a gene's page. A gene with an insufficient expected-variant count for a metric ('NA' in the source) has an EMPTY cell here, NEVER 0 -- an empty LOEUF means unmeasured, not "extremely constrained" (GP-14).
# constraint_flags carries gnomAD's own QC flags for the selected transcript (e.g. no_exp_lof, outlier_mis), comma-separated; empty means no flag was set.
#
# KNOWN COVERAGE GAP in this download (found by inspecting the file, not assumed): it contains autosomal genes (chr1-chr22) ONLY. No chrX or chrY gene appears anywhere in the source (verified directly: e.g. DMD, AR, ATRX, ATP7A, BTK are entirely absent), and the mitochondrial genome has no nuclear-LOFTEE-style constraint model at all. A gene absent from this table may be real and clinically important -- absence here means "not covered by this gnomAD release/download," never "unconstrained."
#
# Accounting: 211523 transcript rows read, 802 with gnomAD's own 'NA' gene sentinel (excluded), 18203 distinct real gene symbols seen, 88 of those have no Ensembl-tagged transcript row at all and are excluded from this table: ADGRF2, ANP32C, BTNL10, C11orf40, C2orf83, C6orf201, C9orf163, C9orf47, CARD17, CENPBD1, CLECL1, CNPY3-GNMT, CRYZL2P-SEC16B, DNAJB3, EEF1AKNMT, ERV3-1-ZNF117, FAM207A, FOLH1B, GPR75-ASB3, KIAA0754, ... (68 more).
# 18115 genes included below.
gene_symbol	ensembl_gene_id	transcript_id	canonical	mane_select	pli	loeuf	mis_z	constraint_flags	source	version
CORO2B	ENSG00000103647	ENST00000261861	true	true	0.015373	0.633	2.984		gnomAD	v4.1
CORO6	ENSG00000167549	ENST00000388767	true	true	5.5209e-14	1.177	0.089361		gnomAD	v4.1
CORO7	ENSG00000262246	ENST00000251166	true	true	5.8401e-34	1.089	-1.329		gnomAD	v4.1
CORO7-PAM16	ENSG00000103426	ENST00000572467	true	false	1.6643e-35	1.041	-1.5452		gnomAD	v4.1
CORT	ENSG00000241563	ENST00000377049	true	true	0.25264	1.391	-0.60013		gnomAD	v4.1
COTL1	ENSG00000103187	ENST00000262428	true	true	5.7903e-07	1.855	-1.0399		gnomAD	v4.1
COX10	ENSG00000006695	ENST00000261643	true	true	4.7226e-07	0.934	1.3958		gnomAD	v4.1
COX11	ENSG00000166260	ENST00000299335	true	true	0.017066	0.79	1.0335		gnomAD	v4.1
COX14	ENSG00000178449	ENST00000550487	true	true	0.21849	1.203	0.16147		gnomAD	v4.1
COX15	ENSG00000014919	ENST00000016171	true	true	5.8917e-16	1.198	1.6685		gnomAD	v4.1
COX16	ENSG00000133983	ENST00000389912	true	true	0.00018572	1.373	0.00043046		gnomAD	v4.1
COX17	ENSG00000138495	ENST00000261070	true	true	0.41926	1.328	-0.012808		gnomAD	v4.1
COX18	ENSG00000163626	ENST00000507544	true	true	1.6716e-14	1.682	-1.117		gnomAD	v4.1
COX19	ENSG00000240230	ENST00000344111	true	true	0.00073241	1.911	-1.2643		gnomAD	v4.1
COX20	ENSG00000203667	ENST00000411948	true	true	0.056908	1.927	-1.449		gnomAD	v4.1
COX4I1	ENSG00000131143	ENST00000253452	true	true	1.1962e-05	1.15	-0.21368		gnomAD	v4.1
COX4I2	ENSG00000131055	ENST00000376075	true	true	5.3139e-05	1.079	0.22645		gnomAD	v4.1
COX5A	ENSG00000178741	ENST00000322347	true	true	0.653	0.82	0.27004		gnomAD	v4.1
COX5B	ENSG00000135940	ENST00000258424	true	true	0.49998	0.766	0.018853		gnomAD	v4.1
COX6A1	ENSG00000111775	ENST00000229379	true	true	0.020606	1.355	-0.26249		gnomAD	v4.1
COX6A2	ENSG00000156885	ENST00000287490	true	true	0.00027357	1.913	-2.7303		gnomAD	v4.1
COX6B1	ENSG00000126267	ENST00000649813	true	true	0.98685	0.421	1.2958		gnomAD	v4.1
COX6B2	ENSG00000160471	ENST00000326529	true	true	5.2304e-05	1.606	-0.55816		gnomAD	v4.1
COX6C	ENSG00000164919	ENST00000520468	true	true	0.32522	1.231	0.20052		gnomAD	v4.1
COX7A1	ENSG00000161281	ENST00000292907	true	true	3.4371e-09	1.922	-0.27503		gnomAD	v4.1
COX7A2	ENSG00000112695	ENST00000684430	true	true	0.01698	1.864	-0.32244		gnomAD	v4.1
COX7A2L	ENSG00000115944	ENST00000234301	true	true	6.8896e-08	1.765	-0.97041		gnomAD	v4.1
COX7B2	ENSG00000170516	ENST00000355591	true	true	0.12399	1.77	-0.27212		gnomAD	v4.1
COX7C	ENSG00000127184	ENST00000247655	true	true	0.65609	1.016	0.52081		gnomAD	v4.1
COX8A	ENSG00000176340	ENST00000314133	true	true	0.00063287	1.922	0.74031		gnomAD	v4.1
COX8C	ENSG00000187581	ENST00000342144	true	true	0.17265	1.876	-1.2266		gnomAD	v4.1
CP	ENSG00000047457	ENST00000264613	true	true	4.9953e-07	0.624	1.607		gnomAD	v4.1
CPA1	ENSG00000091704	ENST00000011292	true	true	2.9591e-13	1.14	1.3589		gnomAD	v4.1
CPA2	ENSG00000158516	ENST00000222481	true	true	2.8404e-13	1.282	0.41436		gnomAD	v4.1
CPA3	ENSG00000163751	ENST00000296046	true	true	4.7367e-08	1.182	-0.69841		gnomAD	v4.1
CPA4	ENSG00000128510	ENST00000222482	true	true	8.5851e-08	1.094	1.1781		gnomAD	v4.1
CPA5	ENSG00000158525	ENST00000474905	true	true	4.4629e-10	1.11	1.0649		gnomAD	v4.1
CPA6	ENSG00000165078	ENST00000297770	true	true	2.1646e-10	1.338	-0.080037		gnomAD	v4.1
CPAMD8	ENSG00000160111	ENST00000443236	true	true	4.7182e-30	0.825	0.68676		gnomAD	v4.1
CPB1	ENSG00000153002	ENST00000282957	true	true	3.15e-15	1.167	0.77917		gnomAD	v4.1
CPB2	ENSG00000080618	ENST00000181383	true	true	3.1247e-10	1.373	1.2537		gnomAD	v4.1
CPD	ENSG00000108582	ENST00000225719	true	true	7.7514e-07	0.627	1.9862		gnomAD	v4.1
CPE	ENSG00000109472	ENST00000402744	true	true	0.83335	0.565	1.0303		gnomAD	v4.1
CPEB1	ENSG00000214575	ENST00000684509	true	true	1	0.177	2.6847		gnomAD	v4.1
CPEB2	ENSG00000137449	ENST00000538197	true	true	2.3944e-16	1.328	-3.9218	outlier_mis,outlier_syn	gnomAD	v4.1
CPEB3	ENSG00000107864	ENST00000265997	true	true	0.59917	0.585	1.2937		gnomAD	v4.1
CPEB4	ENSG00000113742	ENST00000265085	true	true	1	0.287	3.4732		gnomAD	v4.1
CPED1	ENSG00000106034	ENST00000310396	true	true	9.7847e-24	1.142	0.33451		gnomAD	v4.1
CPLANE1	ENSG00000197603	ENST00000651892	true	true	2.7962e-36	0.728	2.7342		gnomAD	v4.1
CPLANE2	ENSG00000132881	ENST00000375599	true	true	2.0746e-10	1.649	0.45979		gnomAD	v4.1
CPLX1	ENSG00000168993	ENST00000304062	true	true	0.43566	0.756	-1.2146		gnomAD	v4.1
CPLX2	ENSG00000145920	ENST00000393745	true	true	0.6995	0.683	1.0402		gnomAD	v4.1
CPLX3	ENSG00000213578	ENST00000395018	true	true	0.00061249	1.191	0.89695		gnomAD	v4.1
CPLX4	ENSG00000166569	ENST00000299721	true	true	4.18e-06	1.729	0.26769		gnomAD	v4.1
CPM	ENSG00000135678	ENST00000551568	true	true	1.1796e-08	1.017	2.1417		gnomAD	v4.1
CPN1	ENSG00000120054	ENST00000370418	true	true	9.4351e-10	1.01	1.0034		gnomAD	v4.1
CPN2	ENSG00000178772	ENST00000323830	true	true	0.20264	1.831	1.1018		gnomAD	v4.1
CPNE1	ENSG00000214078	ENST00000397443	true	true	9.4935e-15	1.012	0.67652		gnomAD	v4.1
CPNE2	ENSG00000140848	ENST00000290776	true	true	3.8921e-08	0.771	2.0449		gnomAD	v4.1
CPNE3	ENSG00000085719	ENST00000517490	true	true	3.0928e-12	1.389	-0.017964		gnomAD	v4.1
CPNE4	ENSG00000196353	ENST00000429747	true	true	0.88261	0.54	3.2422		gnomAD	v4.1
CPNE5	ENSG00000124772	ENST00000244751	true	true	1.4258e-05	0.695	2.4213		gnomAD	v4.1
CPNE6	ENSG00000100884	ENST00000397016	true	false	0.00088394	0.645	2.1393		gnomAD	v4.1
CPNE7	ENSG00000178773	ENST00000319518	true	true	1.7141e-32	1.522	-4.0008	outlier_mis,outlier_syn	gnomAD	v4.1
CPNE8	ENSG00000139117	ENST00000331366	true	true	0.004517	0.964	0.49665		gnomAD	v4.1
CPNE9	ENSG00000144550	ENST00000383832	true	true	2.7157e-13	0.863	1.5997		gnomAD	v4.1
CPO	ENSG00000144410	ENST00000272852	true	true	0.0015713	1.62	0.6519		gnomAD	v4.1
CPOX	ENSG00000080819	ENST00000647941	true	true	0.00050093	0.8	0.24182		gnomAD	v4.1
CPPED1	ENSG00000103381	ENST00000381774	true	true	8.7211e-11	1.288	-1.3477		gnomAD	v4.1
CPQ	ENSG00000104324	ENST00000220763	true	true	3.4706e-09	1.077	0.92115		gnomAD	v4.1
CPS1	ENSG00000021826	ENST00000233072	true	true	1.7622e-19	0.764	1.7456		gnomAD	v4.1
CPSF1	ENSG00000071894	ENST00000616140	true	true	7.9584e-21	0.74	2.0401		gnomAD	v4.1
CPSF2	ENSG00000165934	ENST00000298875	true	true	0.002631	0.651	3.4283		gnomAD	v4.1
CPSF3	ENSG00000119203	ENST00000238112	true	true	2.5306e-10	1.01	3.5773		gnomAD	v4.1
CPSF4	ENSG00000160917	ENST00000292476	true	true	0.99139	0.48	4.2417		gnomAD	v4.1
CPSF4L	ENSG00000187959	ENST00000344935	true	true	9.7069e-06	1.452	0.39564		gnomAD	v4.1
CPSF6	ENSG00000111605	ENST00000435070	true	true	0.99999	0.306	4.0786		gnomAD	v4.1
CPSF7	ENSG00000149532	ENST00000439958	true	true	1	0.13	2.3111		gnomAD	v4.1
CPT1A	ENSG00000110090	ENST00000265641	true	true	2.7892e-09	0.709	3.0969		gnomAD	v4.1
CPT1B	ENSG00000205560	ENST00000312108	true	true	1.2073e-10	0.742	0.84429		gnomAD	v4.1
CPT1C	ENSG00000169169	ENST00000598293	true	true	2.8029e-12	0.778	1.1543		gnomAD	v4.1
CPT2	ENSG00000157184	ENST00000371486	true	true	1.9677e-09	1.038	0.75528		gnomAD	v4.1
CPTP	ENSG00000224051	ENST00000343938	true	true	0.00015019	1.748	-1.0425		gnomAD	v4.1
CPVL	ENSG00000106066	ENST00000265394	true	true	1.414e-06	0.972	0.52226		gnomAD	v4.1
CPXM1	ENSG00000088882	ENST00000380605	true	true	4.0428e-22	1.081	1.0824		gnomAD	v4.1
CPXM2	ENSG00000121898	ENST00000241305	true	true	2.5542e-15	0.974	0.8142		gnomAD	v4.1
CPZ	ENSG00000109625	ENST00000360986	true	true	4.5575e-51	1.966	-6.6902	outlier_mis,outlier_syn	gnomAD	v4.1
CR1	ENSG00000203710	ENST00000367049	true	true	1.1672e-19	0.774	1.8867		gnomAD	v4.1
CR1L	ENSG00000197721	ENST00000508064	true	true	2.8555e-18	1.165	0.29208		gnomAD	v4.1
CR2	ENSG00000117322	ENST00000367057	true	true	1.8413e-20	0.871	1.5057		gnomAD	v4.1
CRABP1	ENSG00000166426	ENST00000299529	true	true	0.016873	1.014	0.79123		gnomAD	v4.1
CRABP2	ENSG00000143320	ENST00000368222	true	true	7.7467e-08	1.516	0.73522		gnomAD	v4.1
CRACD	ENSG00000109265	ENST00000682029	true	true	2.2118e-09	0.712	-0.71707		gnomAD	v4.1
CRACDL	ENSG00000196872	ENST00000397899	true	true	0.031118	0.624	-1.3327		gnomAD	v4.1
CRACR2A	ENSG00000130038	ENST00000440314	true	true	5.6434e-21	0.969	1.3519		gnomAD	v4.1
CRACR2B	ENSG00000177685	ENST00000525077	true	true	4.1077e-21	1.722	-2.6945		gnomAD	v4.1
CRADD	ENSG00000169372	ENST00000332896	true	true	0.033664	0.999	0.68636		gnomAD	v4.1
CRAMP1	ENSG00000007545	ENST00000397412	true	true	1.2806e-06	0.68	-0.74244		gnomAD	v4.1
CRAT	ENSG00000095321	ENST00000318080	true	true	9.8479e-21	1.111	1.3003		gnomAD	v4.1
CRB1	ENSG00000134376	ENST00000367400	true	true	9.3619e-17	0.776	0.63626		gnomAD	v4.1
CRB2	ENSG00000148204	ENST00000373631	true	true	1.0689e-28	1.202	-2.058		gnomAD	v4.1
CRB3	ENSG00000130545	ENST00000600229	true	true	0.080719	1.368	-0.18461		gnomAD	v4.1
CRBN	ENSG00000113851	ENST00000231948	true	true	1.0366e-10	1.147	-0.91879		gnomAD	v4.1
CRCP	ENSG00000241258	ENST00000395326	true	true	0.00016169	1.397	1.2597		gnomAD	v4.1
CRCT1	ENSG00000169509	ENST00000368790	true	true	0.1543	1.898	-1.8879		gnomAD	v4.1
CREB1	ENSG00000118260	ENST00000353267	true	true	1	0.189	3.5959		gnomAD	v4.1
CREB3	ENSG00000107175	ENST00000353704	true	true	9.8354e-10	1.145	0.36438		gnomAD	v4.1
CREB3L1	ENSG00000157613	ENST00000621158	true	true	3.0933e-07	0.954	-0.59648		gnomAD	v4.1
CREB3L2	ENSG00000182158	ENST00000330387	true	true	0.033175	0.645	-0.04694		gnomAD	v4.1
CREB3L3	ENSG00000060566	ENST00000078445	true	true	8.6908e-11	1.155	0.58443		gnomAD	v4.1
CREB3L4	ENSG00000143578	ENST00000368607	true	true	1.6587e-07	0.984	0.77553		gnomAD	v4.1
CREB5	ENSG00000146592	ENST00000357727	true	true	0.99968	0.421	1.6764		gnomAD	v4.1
CREBBP	ENSG00000005339	ENST00000262367	true	true	1	0.101	4.7763		gnomAD	v4.1
CREBL2	ENSG00000111269	ENST00000228865	true	true	0.98542	0.427	1.8282		gnomAD	v4.1
CREBRF	ENSG00000164463	ENST00000296953	true	true	1	0.173	2.8602		gnomAD	v4.1
CREBZF	ENSG00000137504	ENST00000527447	true	true	0.31909	0.738	-0.27289		gnomAD	v4.1
CREG1	ENSG00000143162	ENST00000370509	true	true	2.6407e-06	1.795	-1.3328		gnomAD	v4.1
CREG2	ENSG00000175874	ENST00000324768	true	true	3.3807e-08	1.508	-1.0342		gnomAD	v4.1
CRELD1	ENSG00000163703	ENST00000452070	true	true	7.6352e-10	0.885	0.96935		gnomAD	v4.1
CRELD2	ENSG00000184164	ENST00000328268	true	true	6.7014e-09	1.119	-0.19555		gnomAD	v4.1
CREM	ENSG00000095794	ENST00000685392	true	true	0.94507	0.533	1.7544		gnomAD	v4.1
CRH	ENSG00000147571	ENST00000276571	true	true	0.005925	1.718	-1.5812		gnomAD	v4.1
CRHBP	ENSG00000145708	ENST00000274368	true	true	0.004537	0.766	1.7897		gnomAD	v4.1
CRHR1	ENSG00000120088	ENST00000314537	true	true	0.0042238	0.655	2.9324		gnomAD	v4.1
CRHR2	ENSG00000106113	ENST00000471646	true	true	4.9005e-18	1.221	-0.06396		gnomAD	v4.1
CRIM1	ENSG00000150938	ENST00000280527	true	true	1	0.376	0.60286		gnomAD	v4.1
CRIP1	ENSG00000213145	ENST00000392531	true	true	0.0002765	1.447	-0.71681		gnomAD	v4.1
CRIP2	ENSG00000182809	ENST00000329146	true	true	6.9101e-13	1.553	-3.3476	outlier_mis	gnomAD	v4.1
CRIP3	ENSG00000146215	ENST00000372569	true	true	1.7078e-06	1.036	-0.012232		gnomAD	v4.1
CRIPT	ENSG00000119878	ENST00000238892	true	true	0.18985	1.852	-0.57206		gnomAD	v4.1
CRISP1	ENSG00000124812	ENST00000335847	true	true	2.2666e-14	1.737	-1.2631		gnomAD	v4.1
CRISP2	ENSG00000124490	ENST00000339139	true	true	2.4889e-05	1.086	-0.50626		gnomAD	v4.1
CRISP3	ENSG00000096006	ENST00000263045	true	true	1.4732e-06	1.477	-0.0080466		gnomAD	v4.1
CRISPLD1	ENSG00000121005	ENST00000262207	true	true	1.2452e-11	1.048	0.29371		gnomAD	v4.1
CRISPLD2	ENSG00000103196	ENST00000262424	true	true	6.6528e-11	0.871	-2.0633		gnomAD	v4.1
CRK	ENSG00000167193	ENST00000300574	true	true	0.99965	0.337	2.0656		gnomAD	v4.1
CRKL	ENSG00000099942	ENST00000354336	true	true	0.99962	0.316	2.93		gnomAD	v4.1
CRLF1	ENSG00000006016	ENST00000392386	true	true	8.3681e-10	1.045	0.52571		gnomAD	v4.1
CRLF3	ENSG00000176390	ENST00000324238	true	true	2.124e-06	0.871	0.70979		gnomAD	v4.1
CRLS1	ENSG00000088766	ENST00000378863	true	true	1.479e-05	1.913	-1.8766		gnomAD	v4.1
CRMP1	ENSG00000072832	ENST00000324989	true	true	0.99952	0.44	1.1217		gnomAD	v4.1
CRNKL1	ENSG00000101343	ENST00000536226	true	true	0.99967	0.445	2.5304		gnomAD	v4.1
CRNN	ENSG00000143536	ENST00000271835	true	true	5.534e-12	1.111	0.4014		gnomAD	v4.1
CROCC	ENSG00000058453	ENST00000375541	true	true	1.2562e-62	1.165	-2.7952		gnomAD	v4.1
CROCC2	ENSG00000226321	ENST00000690015	true	true	2.5071e-46	1.214	-0.75107		gnomAD	v4.1
CROT	ENSG00000005469	ENST00000331536	true	true	1.9449e-13	1.003	0.61739		gnomAD	v4.1
CRP	ENSG00000132693	ENST00000255030	true	true	0.0005428	1.932	-0.30172		gnomAD	v4.1
CRPPA	ENSG00000214960	ENST00000407010	true	true	3.8872e-06	1.462	-1.6315		gnomAD	v4.1
CRTAC1	ENSG00000095713	ENST00000370597	true	true	2.6345e-07	0.773	1.6615		gnomAD	v4.1
CRTAM	ENSG00000109943	ENST00000227348	true	true	2.4704e-09	1.135	0.73446		gnomAD	v4.1
CRTAP	ENSG00000170275	ENST00000320954	true	true	7.1791e-11	1.251	-2.2798		gnomAD	v4.1
CRTC1	ENSG00000105662	ENST00000321949	true	true	0.99976	0.417	2.0702		gnomAD	v4.1
CRTC2	ENSG00000160741	ENST00000368633	true	true	0.96627	0.502	2.1356		gnomAD	v4.1
CRTC3	ENSG00000140577	ENST00000268184	true	true	0.87731	0.544	0.035863		gnomAD	v4.1
CRX	ENSG00000105392	ENST00000221996	true	true	0.72313	0.673	1.0896		gnomAD	v4.1
CRY1	ENSG00000008405	ENST00000008527	true	true	3.7616e-07	0.733	2.0468		gnomAD	v4.1
CRY2	ENSG00000121671	ENST00000616080	true	true	0.023609	0.596	2.5509		gnomAD	v4.1
CRYAB	ENSG00000109846	ENST00000650687	true	true	0.005468	1.18	1.1939		gnomAD	v4.1
CRYBA1	ENSG00000108255	ENST00000225387	true	true	2.5475e-05	0.987	1.2062		gnomAD	v4.1
CRYBA2	ENSG00000163499	ENST00000295728	true	true	2.78e-07	1.372	0.075643		gnomAD	v4.1
CRYBA4	ENSG00000196431	ENST00000354760	true	true	4.3917e-10	1.238	1.0664		gnomAD	v4.1
CRYBB1	ENSG00000100122	ENST00000647684	true	true	0.0070272	0.789	1.3118		gnomAD	v4.1
CRYBB2	ENSG00000244752	ENST00000398215	true	true	0.089294	0.765	1.7421		gnomAD	v4.1
CRYBB3	ENSG00000100053	ENST00000215855	true	true	2.226e-14	1.588	0.32693		gnomAD	v4.1
CRYBG1	ENSG00000112297	ENST00000633556	true	true	6.4719e-31	0.856	0.94747		gnomAD	v4.1
CRYBG2	ENSG00000176092	ENST00000308182	true	true	7.6635e-26	0.874	0.28436		gnomAD	v4.1
CRYBG3	ENSG00000080200	ENST00000389622	true	true	7.1235e-14	0.623	0.92995		gnomAD	v4.1
CRYGA	ENSG00000168582	ENST00000304502	true	true	2.0738e-05	1.245	-0.3959		gnomAD	v4.1
CRYGB	ENSG00000182187	ENST00000260988	true	true	5.9729e-05	1.305	-0.65438		gnomAD	v4.1
CRYGC	ENSG00000163254	ENST00000282141	true	true	0.0018396	0.941	0.24242		gnomAD	v4.1
CRYGD	ENSG00000118231	ENST00000264376	true	true	6.8117e-06	1.796	0.096428		gnomAD	v4.1
CRYGN	ENSG00000127377	ENST00000337323	true	true	5.3054e-07	1.621	0.018985		gnomAD	v4.1
CRYGS	ENSG00000213139	ENST00000307944	true	true	0.019928	0.881	0.85912		gnomAD	v4.1
CRYL1	ENSG00000165475	ENST00000298248	true	true	8.8864e-10	1.297	0.094265		gnomAD	v4.1
CRYM	ENSG00000103316	ENST00000572914	true	true	0.0016189	0.841	1.024		gnomAD	v4.1
CRYZ	ENSG00000116791	ENST00000340866	true	true	5.7448e-15	1.547	0.43957		gnomAD	v4.1
CRYZL1	ENSG00000205758	ENST00000381554	true	true	0.10843	0.813	0.73286		gnomAD	v4.1
CS	ENSG00000062485	ENST00000351328	true	true	0.99999	0.356	4.3605		gnomAD	v4.1
CSAD	ENSG00000139631	ENST00000444623	true	true	5.227e-13	0.972	0.78081		gnomAD	v4.1
CSDC2	ENSG00000172346	ENST00000306149	true	true	0.014976	1.123	-0.38795		gnomAD	v4.1
CSDE1	ENSG00000009307	ENST00000358528	true	true	1	0.295	4.0667		gnomAD	v4.1
CSE1L	ENSG00000124207	ENST00000262982	true	true	1	0.277	3.387		gnomAD	v4.1
CSF1	ENSG00000184371	ENST00000329608	true	true	0.99999	0.338	0.49258		gnomAD	v4.1
CSF1R	ENSG00000182578	ENST00000675795	true	true	0.97537	0.485	2.4273		gnomAD	v4.1
CSF2	ENSG00000164400	ENST00000296871	true	true	0.85353	0.619	1.0817		gnomAD	v4.1
CSF2RB	ENSG00000100368	ENST00000403662	true	true	0.9326	0.511	0.88803		gnomAD	v4.1
CSF3	ENSG00000108342	ENST00000394149	true	true	4.9096e-06	1.237	0.93431		gnomAD	v4.1
CSF3R	ENSG00000119535	ENST00000373106	true	true	3.6121e-09	0.726	2.4079		gnomAD	v4.1
CSGALNACT1	ENSG00000147408	ENST00000454498	true	false	3.715e-18	1.257	-3.0062	outlier_mis	gnomAD	v4.1
CSGALNACT2	ENSG00000169826	ENST00000374466	true	true	4.5738e-06	0.886	1.9283		gnomAD	v4.1
CSH1	ENSG00000136488	ENST00000316193	true	true	0.0091053	1.213	0.068413		gnomAD	v4.1
CSH2	ENSG00000213218	ENST00000392886	true	true	0.0094751	1.093	1.2164		gnomAD	v4.1
CSHL1	ENSG00000204414	ENST00000309894	true	true	3.0155e-09	1.399	-1.1565		gnomAD	v4.1
CSK	ENSG00000103653	ENST00000220003	true	true	1	0.222	4.7576		gnomAD	v4.1
CSKMT	ENSG00000214756	ENST00000532971	true	true	2.1104e-07	1.856	-0.34119		gnomAD	v4.1
CSMD1	ENSG00000183117	ENST00000635120	true	true	3.4493e-19	0.586	-12.425	outlier_mis,outlier_syn	gnomAD	v4.1
CSMD2	ENSG00000121904	ENST00000373381	true	true	1	0.364	5.476		gnomAD	v4.1
CSMD3	ENSG00000164796	ENST00000297405	true	true	0.97254	0.464	2.2394		gnomAD	v4.1
CSN1S1	ENSG00000126545	ENST00000246891	true	true	1.1828e-07	1.815	-0.8592		gnomAD	v4.1
CSN2	ENSG00000135222	ENST00000353151	true	true	0.0014644	1.168	-1.0568		gnomAD	v4.1
CSN3	ENSG00000171209	ENST00000304954	true	false	0.22353	1.468	-0.25499		gnomAD	v4.1
CSNK1A1	ENSG00000113712	ENST00000377843	true	true	0.99982	0.34	4.9368		gnomAD	v4.1
CSNK1A1L	ENSG00000180138	ENST00000379800	true	true	4.2394e-06	1.117	0.50979		gnomAD	v4.1
CSNK1D	ENSG00000141551	ENST00000314028	true	true	0.96783	0.512	2.6595		gnomAD	v4.1
CSNK1E	ENSG00000213923	ENST00000396832	true	true	0.5236	0.588	3.0602		gnomAD	v4.1
CSNK1G1	ENSG00000169118	ENST00000303052	true	true	0.2501	0.651	2.3248		gnomAD	v4.1
CSNK1G2	ENSG00000133275	ENST00000255641	true	true	0.99231	0.477	0.97736		gnomAD	v4.1
CSNK1G3	ENSG00000151292	ENST00000345990	true	false	0.73139	0.615	2.16		gnomAD	v4.1
CSNK2A1	ENSG00000101266	ENST00000217244	true	true	1	0.274	5.3272		gnomAD	v4.1
CSNK2A2	ENSG00000070770	ENST00000262506	true	true	0.99718	0.424	3.0647		gnomAD	v4.1
CSNK2A3	ENSG00000254598	ENST00000528848	true	true	1.8654e-09	1.11	0.92091		gnomAD	v4.1
CSNK2B	ENSG00000204435	ENST00000375882	true	true	0.99996	0.237	3.7843		gnomAD	v4.1
CSNKA2IP	ENSG00000283434	ENST00000637986	true	true			0.44871	no_exp_lof	gnomAD	v4.1
CSPG4	ENSG00000173546	ENST00000308508	true	true	3.5752e-12	0.693	2.473		gnomAD	v4.1
CSPG5	ENSG00000114646	ENST00000264723	true	true	1.1578e-05	0.897	1.003		gnomAD	v4.1
CSPP1	ENSG00000104218	ENST00000678616	true	true	1.8241e-09	0.876	0.73622		gnomAD	v4.1
CSRNP1	ENSG00000144655	ENST00000273153	true	true	0.77302	0.614	1.2106		gnomAD	v4.1
CSRNP2	ENSG00000110925	ENST00000228515	true	true	0.99554	0.466	3.2156		gnomAD	v4.1
CSRNP3	ENSG00000178662	ENST00000651982	true	true	0.99993	0.387	2.428		gnomAD	v4.1
CSRP1	ENSG00000159176	ENST00000340006	true	true	0.00083989	0.914	1.0213		gnomAD	v4.1
CSRP2	ENSG00000175183	ENST00000311083	true	true	0.00040941	1.015	0.71265		gnomAD	v4.1
CSRP3	ENSG00000129170	ENST00000265968	true	true	1.039e-07	1.307	0.46588		gnomAD	v4.1
CST1	ENSG00000170373	ENST00000304749	true	true	8.4432e-11	1.964	-1.8721		gnomAD	v4.1
CST11	ENSG00000125831	ENST00000377009	true	true	0.00032652	1.415	-0.33759		gnomAD	v4.1
CST2	ENSG00000170369	ENST00000304725	true	true	8.435e-15	1.951	-1.874		gnomAD	v4.1
CST3	ENSG00000101439	ENST00000376925	true	true	0.00010608	1.912	-1.0646		gnomAD	v4.1
CST4	ENSG00000101441	ENST00000217423	true	true	6.2387e-08	1.874	-1.8004		gnomAD	v4.1
CST5	ENSG00000170367	ENST00000304710	true	true	6.5827e-06	1.8	-1.1585		gnomAD	v4.1
CST6	ENSG00000175315	ENST00000312134	true	true	0.0011722	1.488	-0.53571		gnomAD	v4.1
CST7	ENSG00000077984	ENST00000480798	true	true	2.2035e-07	1.742	-0.048205		gnomAD	v4.1
CST8	ENSG00000125815	ENST00000246012	true	true	2.75e-07	1.952	-0.59929		gnomAD	v4.1
CST9	ENSG00000173335	ENST00000376971	true	true	2.1325e-05	1.885	-0.12212		gnomAD	v4.1
CST9L	ENSG00000101435	ENST00000376979	true	true	1.4039e-05	1.826	0.17931		gnomAD	v4.1
CSTA	ENSG00000121552	ENST00000264474	true	true	0.12232	1.219	-0.20959		gnomAD	v4.1
CSTB	ENSG00000160213	ENST00000291568	true	true	0.0029059	1.681	-0.24896		gnomAD	v4.1
CSTF1	ENSG00000101138	ENST00000217109	true	true	1	0.116	4.6144		gnomAD	v4.1
